,nome_com,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,SP11,SP12,SP13,SP14,SP15,SP16
113,PESSANO CON BORNAGO,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0204,-0.0204,-0.0204,-0.0204,-0.021,-0.021,-0.021,-0.021
114,PIEVE EMANUELE,-0.1125,-0.1125,-0.1125,-0.1125,-0.1231,-0.1231,-0.1231,-0.1231,-0.1206,-0.1206,-0.1206,-0.1206,-0.1235,-0.1235,-0.1235,-0.1235
115,PIOLTELLO,-0.1884,-0.1884,-0.1884,-0.1884,-0.1769,-0.1769,-0.1769,-0.1769,-0.1692,-0.1692,-0.1692,-0.1692,-0.1874,-0.1874,-0.1874,-0.1874
116,POGLIANO MILANESE,-0.0229,-0.0229,-0.0229,-0.0229,-0.0231,-0.0231,-0.0231,-0.0231,-0.0244,-0.0244,-0.0244,-0.0244,-0.0285,-0.0285,-0.0285,-0.0285
117,POZZO D`ADDA,-0.0051,-0.0051,-0.0051,-0.0051,-0.0065,-0.0065,-0.0065,-0.0065,-0.0068,-0.0068,-0.0068,-0.0068,-0.0059,-0.0059,-0.0059,-0.0059
118,POZZUOLO MARTESANA,-0.1738,-0.1738,-0.1738,-0.1738,-0.2416,-0.2416,-0.2416,-0.2416,-0.2451,-0.2451,-0.2451,-0.2451,-0.2032,-0.2032,-0.2032,-0.2032
119,PREGNANA MILANESE,-0.007,-0.007,-0.007,-0.007,-0.0078,-0.0078,-0.0078,-0.0078,-0.0081,-0.0081,-0.0081,-0.0081,-0.0064,-0.0064,-0.0064,-0.0064
120,RHO,-0.2296,-0.2296,-0.2296,-0.2296,-0.2218,-0.2218,-0.2218,-0.2218,-0.2175,-0.2175,-0.2175,-0.2175,-0.2086,-0.2086,-0.2086,-0.2086
121,RIVOLTA D`ADDA,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002
122,ROBECCHETTO CON INDUNO,-0.058,-0.058,-0.058,-0.058,-0.0577,-0.0577,-0.0577,-0.0577,-0.0582,-0.0582,-0.0582,-0.0582,-0.0585,-0.0585,-0.0585,-0.0585
123,ROBECCO SUL NAVIGLIO,-0.0135,-0.0135,-0.0135,-0.0135,-0.0156,-0.0156,-0.0156,-0.0156,-0.0167,-0.0167,-0.0167,-0.0167,-0.0191,-0.0191,-0.0191,-0.0191
124,RODANO,-0.3069,-0.3069,-0.3069,-0.3069,-0.3074,-0.3074,-0.3074,-0.3074,-0.3078,-0.3078,-0.3078,-0.3078,-0.3157,-0.3157,-0.3157,-0.3157
125,ROSATE,-0.0408,-0.0408,-0.0408,-0.0408,-0.0401,-0.0401,-0.0401,-0.0401,-0.0406,-0.0406,-0.0406,-0.0406,-0.0399,-0.0399,-0.0399,-0.0399
126,ROZZANO,-0.3586,-0.3586,-0.3586,-0.3586,-0.3512,-0.3512,-0.3512,-0.3512,-0.352,-0.352,-0.352,-0.352,-0.3537,-0.3537,-0.3537,-0.3537
127,SAMARATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
